b'{id: 668, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 669, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 670, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 671, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 672, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 673, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 674, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 675, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 676, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 677, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 678, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 679, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 680, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 681, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 682, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 683, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 684, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 685, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 686, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 687, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 688, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 689, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 690, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 691, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 692, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 693, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 694, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 695, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 696, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 697, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 698, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 699, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 700, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 701, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 702, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 703, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 704, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 705, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 706, voltage: 6.475073, temperature: 31.000000}\n'
b'{id: 707, voltage: 6.475073, temperature: 31.000000}\n'
b'{id: 708, voltage: 6.475073, temperature: 31.000000}\n'
b'{id: 709, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 710, voltage: 6.475073, temperature: 31.000000}\n'
b'{id: 711, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 712, voltage: 6.475073, temperature: 31.000000}\n'
b'{id: 713, voltage: 6.475073, temperature: 31.000000}\n'
b'{id: 714, voltage: 6.475073, temperature: 31.000000}\n'
b'{id: 715, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 716, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 717, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 718, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 719, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 720, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 721, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 722, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 723, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 724, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 725, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 726, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 727, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 728, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 729, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 730, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 731, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 732, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 733, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 734, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 735, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 736, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 737, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 738, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 739, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 740, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 741, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 742, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 743, voltage: 6.475073, temperature: 31.000000}\n'
b'{id: 744, voltage: 6.475073, temperature: 31.000000}\n'
b'{id: 745, voltage: 6.475073, temperature: 31.000000}\n'
b'{id: 746, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 747, voltage: 6.475073, temperature: 31.000000}\n'
b'{id: 748, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 749, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 750, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 751, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 752, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 753, voltage: 6.475073, temperature: 30.500000}\n'
b'{id: 754, voltage: 6.475073, temperature: 30.500000}\n'
